platform,query,page,product_name,current_price,original_price,discount,fake_discount,rating,urgency_text,has_urgency,suspicious_discount,full_text,product_url
Ajio,shoes,1,NIKE,"₹4,348","₹8,695",50% off,No,2.8,None,False,False,"NEWSEASON Quick View NIKE Men Air Winflo 11 Wide Running Shoes 2.8 |   4 ₹4,348 ₹8,695 (50% off) Offer Price: ₹ 3,913",https://www.ajio.com/nike-men-air-winflo-11-wide-running-shoes/p/469817394_orange?
Ajio,shoes,1,NIKE,"₹4,848","₹9,695",50% off,No,4.9,None,False,False,"NEWSEASON Quick View NIKE Men Air Winflo 11 Running Shoes 4.9 |   7 ₹4,848 ₹9,695 (50% off) Offer Price: ₹ 4,363",https://www.ajio.com/nike-men-air-winflo-11-running-shoes/p/469817444_white?
Ajio,shoes,1,NIKE,"₹2,748","₹5,495",50% off,No,3.3,None,False,False,"BESTSELLER Quick View NIKE SB Heritage Vulc Low-Top Lace-Up Casual Shoes 3.3 |   201 ₹2,748 ₹5,495 (50% off) Offer Price: ₹ 2,473",https://www.ajio.com/nike-sb-heritage-vulc-low-top-lace-up-casual-shoes/p/460846168_white?
Ajio,shoes,1,NIKE,"₹5,398","₹10,795",50% off,No,2.3,None,False,False,"NEWSEASON Quick View NIKE Men Air Max Dawn Running Shoes 2.3 |   3 ₹5,398 ₹10,795 (50% off) Best Price ₹ 4,858",https://www.ajio.com/nike-men-air-max-dawn-running-shoes/p/469817379_blue?
Ajio,shoes,1,Skechers,"₹2,200","₹5,499",60% off,No,4.2,None,False,False,"BESTSELLER Quick View Skechers Go Run Consistant Lace-Up Shoes 4.2 |   230 ₹2,200 ₹5,499 (60% off) Offer Price: ₹ 1,700",https://www.ajio.com/skechers-go-run-consistant-lace-up-shoes/p/469544798_black?
Ajio,shoes,1,Puma,"₹3,099","₹4,999",38% off,No,4.1,None,False,False,"BESTSELLER Quick View Puma Men Low-Top Lace-Up Running Shoes 4.1 |   215 ₹3,099 ₹4,999 (38% off) Offer Price: ₹ 2,479",https://www.ajio.com/puma-men-low-top-lace-up-running-shoes/p/703425552_charcoal?
Ajio,shoes,1,NIKE,"₹3,148","₹6,295",50% off,No,4.2,None,False,False,"BESTSELLER Quick View NIKE Quest 5 Lace-Up Running Shoes 4.2 |   1K ₹3,148 ₹6,295 (50% off) Offer Price: ₹ 2,833",https://www.ajio.com/nike-quest-5-lace-up-running-shoes/p/469180114_black?
Ajio,shoes,1,Lee Cooper,₹570,"₹1,899",70% off,No,4.1,None,False,True,"BESTSELLER Quick View Lee Cooper Men Lace-Up Shoes 4.1 |   132 ₹570 ₹1,899 (70% off) Offer Price: ₹ 399",https://www.ajio.com/lee-cooper-men-lace-up-shoes/p/450157154_black?
Ajio,shoes,1,NIKE,"₹6,097","₹9,995",39% off,No,3.9,None,False,False,"BESTSELLER Quick View NIKE Men Air Max 90 Lace-Up-Up Sneakers 3.9 |   197 ₹6,097 ₹9,995 (39% off)",https://www.ajio.com/nike-men-air-max-90-lace-up-up-sneakers/p/469764328_blackgrey?
Ajio,shoes,1,NIKE,"₹3,548","₹7,095",50% off,No,3.5,None,False,False,"BESTSELLER Quick View NIKE Men Ebernon Low Premium Lace-Up Sneakers 3.5 |   229 ₹3,548 ₹7,095 (50% off) Offer Price: ₹ 3,193",https://www.ajio.com/nike-men-ebernon-low-premium-lace-up-sneakers/p/469749335_white?
Ajio,shoes,1,NIKE,"₹5,948","₹11,895",50% off,No,N/A,None,False,False,"BESTSELLER Quick View NIKE Air Zoom Pegasus 40 Running Shoes 4 |   148 ₹5,948 ₹11,895 (50% off) Offer Price: ₹ 5,353",https://www.ajio.com/nike-air-zoom-pegasus-40-running-shoes/p/469581827_black?
Ajio,shoes,1,NIKE,"₹4,871","₹6,495",25% off,No,4.3,None,False,False,"BESTSELLER Quick View NIKE Men Court Vision Low Lace-Up  Sneakers 4.3 |   16 ₹4,871 ₹6,495 (25% off) Offer Price: ₹ 4,384",https://www.ajio.com/nike-men-court-vision-low-lace-up-sneakers/p/469811285_white?
Ajio,shoes,1,RED TAPE,₹986,"₹5,799",83% off,No,4.1,None,False,True,"Quick View RED TAPE Men Round-Toe Lace-Up Sneakers 4.1 |   1K ₹986 ₹5,799 (83% off) Offer Price: ₹ 887",https://www.ajio.com/red-tape-men-round-toe-lace-up-sneakers-/p/700333424_grey?
Ajio,shoes,1,Adidas Kids,"₹3,299",N/A,N/A,N/A,1.0,None,False,False,"BESTSELLER Quick View Adidas Kids Boys Kids Stunicon 1.0 K Slip-On Shoes 3.9 |   196 ₹3,299",https://www.ajio.com/adidas-kids-boys-kids-stunicon-1-0-k-slip-on-shoes/p/410263517_blackwhite?
Ajio,shoes,1,NIKE,"₹7,998","₹15,995",50% off,No,N/A,None,False,False,"NEWSEASON Quick View NIKE Men Air Max 2017 Running Shoes ₹7,998 ₹15,995 (50% off) Best Price ₹ 7,198",https://www.ajio.com/nike-men-air-max-2017-running-shoes/p/469817364_black?
Ajio,shoes,1,NIKE,"₹4,547","₹6,495",30% off,No,3.8,None,False,False,"BESTSELLER Quick View NIKE Men Court Vision Low Lace-Up  Sneakers 3.8 |   26 ₹4,547 ₹6,495 (30% off) Offer Price: ₹ 4,092",https://www.ajio.com/nike-men-court-vision-low-lace-up-sneakers/p/469811286_grey?
Ajio,shoes,1,Bata,₹599,₹999,40% off,No,4.1,None,False,False,BESTSELLER Quick View Bata Boys Round-Toe Slip-On Shoes 4.1 |   16 ₹599 ₹999 (40% off) Offer Price: ₹ 419,https://www.ajio.com/bata-boys-round-toe-slip-on-shoes/p/701982312_black?
Ajio,shoes,1,MAX,₹399,₹279,N/A,No,N/A,None,False,False,BESTSELLER Quick View MAX Girls Mid-Top Lace-Up Shoes 5 |   2 ₹399 Offer Price: ₹ 279,https://www.ajio.com/max-girls-mid-top-lace-up-shoes/p/703475592_white?
Ajio,shoes,1,RED TAPE,"₹1,105","₹8,499",87% off,No,3.8,None,False,True,"BESTSELLER Quick View RED TAPE Men Round-Toe Sneakers with Lace Fastening 3.8 |   1.1K ₹1,105 ₹8,499 (87% off)",https://www.ajio.com/red-tape-men-round-toe-sneakers-with-lace-fastening-/p/702521017_black?
Ajio,shoes,1,Puma,"₹1,620","₹5,999",73% off,No,N/A,None,False,True,"BESTSELLER Quick View Puma Men 9-T Lace-Up Sneakers 4 |   70 ₹1,620 ₹5,999 (73% off) Offer Price: ₹ 1,200",https://www.ajio.com/puma-men-9-t-lace-up-sneakers/p/469652848_black?
Ajio,shoes,1,NIKE,"₹3,248","₹6,495",50% off,No,N/A,None,False,False,"BESTSELLER Quick View NIKE SB Alleyoop Lace-Up Sneakers 4 |   85 ₹3,248 ₹6,495 (50% off) Offer Price: ₹ 2,923",https://www.ajio.com/nike-sb-alleyoop-lace-up-sneakers/p/469812816_blue?
Ajio,shoes,1,NIKE,"₹3,748","₹7,495",50% off,No,3.5,None,False,False,"Quick View NIKE Men Air Max Alpha Trainer 5 Football Shoes 3.5 |   14 ₹3,748 ₹7,495 (50% off) Offer Price: ₹ 3,373",https://www.ajio.com/nike-men-air-max-alpha-trainer-5-football-shoes/p/469551502_black?
Ajio,shoes,1,Puma,"₹3,360","₹7,999",58% off,No,3.7,None,False,False,"Quick View Puma Conduct Pro Running Shoes 3.7 |   14 ₹3,360 ₹7,999 (58% off) Offer Price: ₹ 2,856",https://www.ajio.com/puma-conduct-pro-running-shoes/p/701157897_black?
Ajio,shoes,1,CONVERSE,"₹4,799","₹3,839",N/A,No,4.2,None,False,False,"BESTSELLER Quick View CONVERSE Unisex Chuck Taylor All Star High-Top Canvas Sneakers 4.2 |   582 ₹4,799 Offer Price: ₹ 3,839",https://www.ajio.com/converse-unisex-chuck-taylor-all-star-high-top-canvas-sneakers/p/700111742_black?
Ajio,shoes,1,NIKE,"₹3,987","₹5,695",30% off,No,3.7,None,False,False,"Quick View NIKE Precision VII Basketball Shoes 3.7 |   141 ₹3,987 ₹5,695 (30% off) Offer Price: ₹ 3,588",https://www.ajio.com/nike-precision-vii-basketball-shoes/p/469647492_white?
