platform,query,page,product_name,current_price,original_price,discount,fake_discount,rating,urgency_text,has_urgency,suspicious_discount,is_sponsored,full_text,product_url
Amazon,smartphones,1,OnePlus Nord CE6 Lite | 8GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Se,₹25998.00,"₹33,999",(24% off),No,4.3,Limited time deal,True,False,True,"Sponsored Sponsored You are seeing this ad based on the product’s relevance to your search query. Let us know OnePlus Nord CE6 Lite | 8GB+128GB | Hyper Black | Segment's Fastest Dimensity 7400 Apex Processor | 7000mAh Battery | Segment's Highest 144Hz Refresh Rate | 50MP Main Camera, 4K Video Recording Top Reviewed for Battery life 4.3 4.3 out of 5 stars (450) Limited time deal Price, product page",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTczNzQxNzQ3MTA2NTY6MTc4MTA3MjYwNTpzcF9hdGY6MzAxMDg2NzAwNDA2NjMyOjowOjo&url=%2FOnePlus-Segments-Dimensity-Processor-Recording%2Fdp%2FB0GVYXPZBS%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw%26dib_tag%3Dse%26keywords%3Dsmartphones%26qid%3D1781072605%26sr%3D8-1-spons%26aref%3DDAu4vFXQ8d%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=DAu4vFXQ8d&sp_cr=ZAZ
Amazon,smartphones,1,"REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Lar",₹13999.00,"₹16,999",(18% off),No,3.6,None,False,False,True,"Sponsored Sponsored You are seeing this ad based on the product’s relevance to your search query. Let us know REDMI A7 Pro 5G (Black, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display 3.6 3.6 out of 5 stars (655) 5K+ bought in past month Price, product page ₹13,999 ₹ 13,999 M.R.P: ₹16,999 M.R.P: ₹16,999 ₹16,999 (18%",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTczNzQxNzQ3MTA2NTY6MTc4MTA3MjYwNTpzcF9hdGY6MzAxMDM4NzY3NzA1NzMyOjowOjo&url=%2FREDMI-A7-Pro-5G-Processor%2Fdp%2FB0GS5M4VMH%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw%26dib_tag%3Dse%26keywords%3Dsmartphones%26qid%3D1781072605%26sr%3D8-2-spons%26aref%3DvsZqfdiYw3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=vsZqfdiYw3&sp_cr=ZAZ
Amazon,smartphones,1,"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm ",₹10499.00,"₹10,999",(5% off),No,4.2,None,False,False,False,"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger 4.2 4.2 out of 5 stars (1.6K) 5K+ bought in past month Price, product page ₹10,499 ₹ 10,499 M.R.P: ₹10,999 M.R.P: ₹10,999 ₹10,999 (5% off) Up to 5% back with Amazon Pay ICICI card Up to 5% back with ",https://www.amazon.in/Samsung-Storage-MediaTek-Charging-Upgrades/dp/B0FN7QTRPY/ref=sr_1_3?dib=eyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw&dib_tag=se&keywords=smartphones&qid=1781072605&sr=8-3
Amazon,smartphones,1,"Samsung Galaxy F06 5G, Lit Voilet (6GB, 128GB)",₹13971.00,"₹15,499",(10% off),No,4.2,None,False,False,False,"Amazon's Choice for ""smartphones"" Samsung Galaxy F06 5G, Lit Voilet (6GB, 128GB) 4.2 4.2 out of 5 stars (131) 1K+ bought in past month Price, product page ₹13,971 ₹ 13,971 M.R.P: ₹15,499 M.R.P: ₹15,499 ₹15,499 (10% off) Up to 5% back with Amazon Pay ICICI card Up to 5% back with Amazon Pay ICI... FREE delivery Fri, 12 Jun Or fastest delivery Tomorrow 8 am - 12 pm Add to cart More Buying Choices ₹1",https://www.amazon.in/Samsung-Galaxy-F06-5G-Voilet/dp/B0F8ZVRLZB/ref=sr_1_4?dib=eyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw&dib_tag=se&keywords=smartphones&qid=1781072605&sr=8-4
Amazon,smartphones,1,"realme NARZO 90 5G (Carbon Black,8GB+128GB) | 7000mAh Biggest Battery | 60W Fastest Charging | 50MP Front & Rear AI Came",₹19999.00,N/A,N/A,N/A,4.1,None,False,False,False,"realme NARZO 90 5G (Carbon Black,8GB+128GB) | 7000mAh Biggest Battery | 60W Fastest Charging | 50MP Front & Rear AI Cameras | 4000nits Brightest Display | AI Assist | IP69 Dust & Water Resistance Top Reviewed for Battery life 4.1 4.1 out of 5 stars (1K) 2K+ bought in past month Price, product page ₹19,999 ₹ 19,999 Up to 5% back with Amazon Pay ICICI card Up to 5% back with Amazon Pay ICI... FREE d",https://www.amazon.in/realme-Charging-4000nits-Brightest-Resistance/dp/B0G49YZTTW/ref=sr_1_5?dib=eyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw&dib_tag=se&keywords=smartphones&qid=1781072605&sr=8-5
Amazon,smartphones,1,"iQOO Z10R 5G (Moonstone, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 ",₹26999.00,N/A,N/A,N/A,4.4,None,False,False,False,"iQOO Z10R 5G (Moonstone, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu Top Reviewed for Battery life 4.4 4.4 out of 5 stars (4.5K) 1K+ bought in past month Price, product page ₹26,999 ₹ 26,999 Up to 5% back with Amazon Pay ICICI card Up to 5% back with Amazon Pay ICI... FREE delivery Fri, 12 Jun Or fastest delivery Tomorr",https://www.amazon.in/iQOO-Moonstone-Quad-Curved-Dimensity-Processor/dp/B0FHB6HZYM/ref=sr_1_6?dib=eyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw&dib_tag=se&keywords=smartphones&qid=1781072605&sr=8-6
Amazon,smartphones,1,"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery ",₹23999.00,"₹25,999",(8% off),No,4.3,None,False,False,False,"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof Top Reviewed for Battery life 4.3 4.3 out of 5 stars (2.8K) 1K+ bought in past month Price, product page ₹23,999 ₹ 23,999 M.R.P: ₹25,999 M.R.P: ₹25,999 ₹25,999 (8% off) Up to 5% back with Amazon Pay ICICI c",https://www.amazon.in/realme-Segments-Dimensity-HyperGlow-Waterproof/dp/B0F1D9LCK3/ref=sr_1_7?dib=eyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw&dib_tag=se&keywords=smartphones&qid=1781072605&sr=8-7
Amazon,smartphones,1,"realme NARZO 80 Lite 4G (Beach Gold 2026, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultr",₹11999.00,"₹16,999",(29% off),No,4.2,None,False,False,False,"realme NARZO 80 Lite 4G (Beach Gold 2026, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volume | Pulse Light: 9 Colors, 5 Glow Modes | Ai Assist 4.2 4.2 out of 5 stars (2.9K) Price, product page ₹11,999 ₹ 11,999 M.R.P: ₹16,999 M.R.P: ₹16,999 ₹16,999 (29% off) Up to 5% back with Amazon Pay ICICI card Up to 5% back with Amazon Pay ICI... FREE delivery Fri, 12 Jun Or",https://www.amazon.in/realme-6300mAh-Segments-Biggest-Battery/dp/B0H1B6WTN3/ref=sr_1_8?dib=eyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw&dib_tag=se&keywords=smartphones&qid=1781072605&sr=8-8
Amazon,smartphones,1,"OPPO K14x 5G Smartphone, 6GB RAM, 128GB Storage, ICY Blue, Dual Camera, 48-Month Fluency Protection",₹17999.00,"₹19,999",(10% off),No,3.8,None,False,False,False,"OPPO K14x 5G Smartphone, 6GB RAM, 128GB Storage, ICY Blue, Dual Camera, 48-Month Fluency Protection 3.8 3.8 out of 5 stars (35) 500+ bought in past month Price, product page ₹17,999 ₹ 17,999 M.R.P: ₹19,999 M.R.P: ₹19,999 ₹19,999 (10% off) Up to 5% back with Amazon Pay ICICI card Up to 5% back with Amazon Pay ICI... FREE delivery Fri, 12 Jun Or fastest delivery Tomorrow 8 am - 12 pm Add to cart Mor",https://www.amazon.in/OPPO-Smartphone-Storage-48-Month-Protection/dp/B0GPDJ1PRN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw&dib_tag=se&keywords=smartphones&qid=1781072605&sr=8-10
Amazon,smartphones,1,OnePlus Nord 6 | 8GB+256GB | Fresh Mint | Snapdragon 8s Gen 4 | Segment's First Stable 165FPS Gaming | Segment's Largest,₹42999.00,"₹52,999",(19% off),No,4.3,None,False,False,True,"Sponsored Sponsored You are seeing this ad based on the product’s relevance to your search query. Let us know OnePlus Nord 6 | 8GB+256GB | Fresh Mint | Snapdragon 8s Gen 4 | Segment's First Stable 165FPS Gaming | Segment's Largest 9000mAh Battery | Most Complete IP Rating | Personalized AI Top Reviewed for Battery life 4.3 4.3 out of 5 stars (1.3K) 5K+ bought in past month Price, product page ₹42,",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTczNzQxNzQ3MTA2NTY6MTc4MTA3MjYwNTpzcF9tdGY6MzAxMDI3MTcxMzI0ODMyOjowOjo&url=%2FOnePlus-Snapdragon-Segments-Complete-Personalized%2Fdp%2FB0GRBBPBGQ%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.LvJhgejdQJRe7xQfAw57m_tJgI0RQDbdQpvP9K1nccu_035-woLkFVCHJtAQEUyhWGrPuJ5UkS_9BXBoLSWOd8GtZFIQqqn84qXME8dPS7RV3lBm_317_lDZAd5tnPH5yJXUcmY8cOv_HFq4Xsy5NV5ERc_LHj71IsrK9TPHsWiPX1SrkIIRHPiKqNsmVHtydH3XShpOBNIkUas3NuDjZLop336fquFtUMnJ4vPRBo4.OdxzJqE8jByep57ho3ykWIadb8kSUKb78crahymw1Vw%26dib_tag%3Dse%26keywords%3Dsmartphones%26qid%3D1781072605%26sr%3D8-11-spons%26aref%3DbAL0dYVpqQ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=bAL0dYVpqQ&sp_cr=ZAZ
