platform,query,product_name,current_price,original_price,discount_pct,savings_amount,rating,urgency_text,has_urgency,fake_discount_flag,suspicious_discount,product_url,full_text
Flipkart,smartphones,"Samsung M06 5G (Sage Green, 128 GB)",12649.0,15499.0,18.0,2850.0,4.1,Only Few Left,True,No,False,https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c?pid=MOBH9UYFYVNKR3HR&lid=LSTMOBH9UYFYVNKR3HRAJBG4M&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBH9UYFYVNKR3HR.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare Samsung M06 5G (Sage Green, 128 GB) 4.1 2,301 Ratings & 139 Reviews 4 GB RAM | 128 GB ROM 17.02 cm (6.7 inch) Display 50MP Rear Camera 5000 mAh Battery 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories ₹12,649 ₹15,499 18% off Only few left Bank Offer"
Flipkart,smartphones,"Ai+ Pulse 2 (Purple, 64 GB)",10499.0,10999.0,4.0,500.0,4.4,None,False,No,False,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGHKLHJJ&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare Ai+ Pulse 2 (Purple, 64 GB) 4.4 3,259 Ratings & 166 Reviews 4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.13 cm (6.745 inch) HD+ Display 50MP Rear Camera | 8MP Front Camera 6000 mAh Battery T7250 Processor 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories ₹10,499 ₹10,999 4% off Upto ₹7,050 Off on Exchange Bank Offer"
Flipkart,smartphones,"Samsung M06 5G (Sage Green, 128 GB)",14720.0,18999.0,22.0,4279.0,4.1,Only 2 Left,True,No,False,https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c?pid=MOBH9UYF3VCXJ279&lid=LSTMOBH9UYF3VCXJ279CGA2YG&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBH9UYF3VCXJ279.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare Samsung M06 5G (Sage Green, 128 GB) 4.1 1,617 Ratings & 96 Reviews 6 GB RAM | 128 GB ROM 17.02 cm (6.7 inch) Display 50MP Rear Camera 5000 mAh Battery 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories ₹14,720 ₹18,999 22% off Only 2 left Bank Offer"
Flipkart,smartphones,"OPPO K14x 5G (Icy Blue, 64 GB)",14999.0,19999.0,25.0,5000.0,4.3,None,False,No,False,https://www.flipkart.com/oppo-k14x-5g-icy-blue-64-gb/p/itm188c7a4b69292?pid=MOBHKZF3YEJNPZHZ&lid=LSTMOBHKZF3YEJNPZHZKAKWY1&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHKZF3YEJNPZHZ.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare OPPO K14x 5G (Icy Blue, 64 GB) 4.3 3,549 Ratings & 215 Reviews 4 GB RAM | 64 GB ROM 17.14 cm (6.75 inch) HD+ Display 50MP + 2MP | 5MP; f/2.2; FOV 77°; 3P lens 6500 mAh Battery Dimensity 6300 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories ₹14,999 ₹19,999 25% off Upto ₹10,350 Off on Exchange Bank Offer"
Flipkart,smartphones,"realme P4 Lite (Sea Blue, 128 GB)",13999.0,9700.0,,-4299.0,4.1,None,False,Unknown,False,https://www.flipkart.com/realme-p4-lite-sea-blue-128-gb/p/itm534024e2339ef?pid=MOBHK685ZBEG6Y5H&lid=LSTMOBHK685ZBEG6Y5HLV0LRO&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHK685ZBEG6Y5H.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare realme P4 Lite (Sea Blue, 128 GB) 4.1 2,746 Ratings & 158 Reviews 4 GB RAM | 128 GB ROM 17.14 cm (6.75 inch) HD+ Display 13MP Rear Camera | 5MP Front Camera 6300 mAh Battery T7250 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories ₹13,999 Upto ₹9,700 Off on Exchange Bank Offer"
Flipkart,smartphones,"vivo T5x 5G (Cyber Green, 256 GB)",26999.0,33999.0,20.0,7000.0,4.4,None,False,No,False,https://www.flipkart.com/vivo-t5x-5g-cyber-green-256-gb/p/itm7da8aa253e72b?pid=MOBHH69NQGVVYQSG&lid=LSTMOBHH69NQGVVYQSGAVFZV6&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHH69NQGVVYQSG.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare vivo T5x 5G (Cyber Green, 256 GB) 4.4 10,950 Ratings & 878 Reviews 8 GB RAM | 256 GB ROM 17.17 cm (6.76 inch) Display 50MP + 2MP | 32MP Front Camera 7200 mAh Li-ion Battery Dimensity 7400-Turbo Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories ₹26,999 ₹33,999 20% off Upto ₹18,800 Off on Exchange Bank Offer"
Flipkart,smartphones,"vivo T5x 5G (Star Silver, 128 GB)",22999.0,28999.0,20.0,6000.0,4.4,None,False,No,False,https://www.flipkart.com/vivo-t5x-5g-star-silver-128-gb/p/itm7da8aa253e72b?pid=MOBHH69NRE6PHFBH&lid=LSTMOBHH69NRE6PHFBHJHMXME&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHH69NRE6PHFBH.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare vivo T5x 5G (Star Silver, 128 GB) 4.4 9,240 Ratings & 611 Reviews 6 GB RAM | 128 GB ROM 17.17 cm (6.76 inch) Display 50MP + 2MP | 32MP Front Camera 7200 mAh Li-ion Battery Dimensity 7400-Turbo Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories ₹22,999 ₹28,999 20% off Upto ₹16,350 Off on Exchange Bank Offer"
Flipkart,smartphones,"OnePlus Nord CE6 (Pitch Black, 128 GB)",31854.0,40999.0,22.0,9145.0,4.4,Only Few Left,True,No,False,https://www.flipkart.com/oneplus-nord-ce6-pitch-black-128-gb/p/itmd7b224b18cb05?pid=MOBHN886XZV5BC22&lid=LSTMOBHN886XZV5BC22AQX5WD&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHN886XZV5BC22.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare OnePlus Nord CE6 (Pitch Black, 128 GB) 4.4 74 Ratings & 6 Reviews 8 GB RAM | 128 GB ROM | Expandable Upto 128 GB 17.22 cm (6.78 inch) Full HD+ Display 50MP Rear Camera | 2MP Front Camera 8000 mAh Battery Qualcomm® Snapdragon™ 7s Gen 4 Processor one year of handset six month of accessories ₹31,854 ₹40,999 22% off Super Deals Only few left"
Flipkart,smartphones,"Ai+ Pulse 2 (Blue, 128 GB)",11499.0,11999.0,4.0,500.0,3.8,None,False,No,False,https://www.flipkart.com/ai-pulse-2-blue-128-gb/p/itmd59202944d081?pid=MOBHKHPYW49R78RA&lid=LSTMOBHKHPYW49R78RAR9LHZP&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHKHPYW49R78RA.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare Ai+ Pulse 2 (Blue, 128 GB) 3.8 3,594 Ratings & 292 Reviews 6 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.13 cm (6.745 inch) HD+ Display 50MP Rear Camera | 8MP Front Camera 6000 mAh Battery T7250 Processor 1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories ₹11,499 ₹11,999 4% off Upto ₹7,800 Off on Exchange Bank Offer"
Flipkart,smartphones,"POCO M7 Plus 5G (Carbon Black, 128 GB)",15999.0,16999.0,5.0,1000.0,4.3,None,False,No,False,https://www.flipkart.com/poco-m7-plus-5g-carbon-black-128-gb/p/itmb4301b9afe80c?pid=MOBHETX6NVUH8VPG&lid=LSTMOBHETX6NVUH8VPGINMDBZ&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=7ebcd331-2a2e-468b-9f23-28085641b794.MOBHETX6NVUH8VPG.SEARCH&ppt=None&ppn=None&ssid=hgqknvvg000000001780910409817&qH=6ea4465d0add4685&ov_redirect=true,"Add to Compare POCO M7 Plus 5G (Carbon Black, 128 GB) 4.3 9,305 Ratings & 586 Reviews 6 GB RAM | 128 GB ROM | Expandable Upto 2 TB 17.53 cm (6.9 inch) Display 50MP AI Dual Camera 7000 mAh Battery Snapdragon 6s Gen 3 5G Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories ₹15,999 ₹16,999 5% off Upto ₹11,000 Off on Exchange Bank Offer"
