platform,query,page,product_name,current_price,original_price,discount,fake_discount,rating,urgency_text,has_urgency,suspicious_discount,full_text,product_url
Myntra,shoes,1,CULT Men Running Shoes,₹2441,₹4069,40% off,No,4.4,None,False,False,4.4 | 264 AD CULT Men Running Shoes Sizes: UK9 Rs. 2441 Rs. 4069 (40% OFF) VIEW SIMILAR wishlist Select a size UK9,https://www.myntra.com/sports-shoes/cult/cult-men-strix-running-shoes----blackblue/33384081/buy
Myntra,shoes,1,Reebok Women Adapt-OgBolt Train Shoes,₹1889,₹2999,37% off,No,4.3,None,False,False,4.3 | 476 AD Reebok Women Adapt-OgBolt Train Shoes Sizes: UK7 Rs. 1889 Rs. 2999 (37% OFF) VIEW SIMILAR wishlist Select a size UK7,https://www.myntra.com/sports-shoes/reebok/reebok-women-adapt-og-bolt-training-shoes/37051488/buy
Myntra,shoes,1,HRX by Hrithik Roshan Unisex Back To School Shoes,₹979,₹3699,N/A,No,4.3,None,False,False,4.3 | 3k HRX by Hrithik Roshan Unisex Back To School Shoes Sizes: UK5 Rs. 979 Rs. 3699 (Rs. 2720 OFF) VIEW SIMILAR wishlist Select a size UK5,https://www.myntra.com/casual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-unisex-back-to-school-shoes/29553912/buy
Myntra,shoes,1,HOOH Now Comfort in Fashion Girls Frozen Printed Sneakers,₹379,₹1299,71% off,No,4.3,None,False,True,4.3 | 885 HOOH Now Comfort in Fashion Girls Frozen Printed Sneakers Sizes: 6-6.5Y Rs. 379 Rs. 1299 (71% OFF) VIEW SIMILAR wishlist Select a size 6-6.5Y,https://www.myntra.com/casual-shoes/hooh+now+comfort+in+fashion/hooh-now-comfort-in-fashion-girls-frozen-printed-sneakers/39078573/buy
Myntra,shoes,1,Campus Women PU Sneakers,₹1299,₹2799,54% off,No,4.7,None,False,False,4.7 | 163 AD NEW Campus Women PU Sneakers Sizes: UK8 Rs. 1299 Rs. 2799 (54% OFF) VIEW SIMILAR wishlist Select a size UK8,https://www.myntra.com/casual-shoes/campus/campus-ambit-women-pu-sneakers/41198819/buy
Myntra,shoes,1,HRX by Hrithik Roshan Unisex Running Shoes,₹1116,₹2999,N/A,No,4.3,None,False,False,4.3 | 5.1k HRX by Hrithik Roshan Unisex Running Shoes Sizes: UK3 Rs. 1116 Rs. 2999 (Rs. 1883 OFF) VIEW SIMILAR wishlist Select a size UK3,https://www.myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-unisex-mesh-running-non-marking-shoes/32085907/buy
Myntra,shoes,1,Stylegalaxy Women T Strap Flats,₹549,₹1799,69% off,No,N/A,None,False,False,NEW Stylegalaxy Women T Strap Flats Sizes: UK9 Rs. 549 Rs. 1799 (69% OFF) VIEW SIMILAR wishlist Select a size UK9,https://www.myntra.com/flats/stylegalaxy/stylegalaxy-women-embellished-party-t-strap-flats/42095253/buy
Myntra,shoes,1,Lotto Men Impulso Citta Sneakers,₹1478,₹4499,67% off,No,4.3,None,False,False,4.3 | 252 AD Lotto Men Impulso Citta Sneakers Sizes: UK6 Rs. 1478 Rs. 4499 (67% OFF) VIEW SIMILAR wishlist Select a size UK6,https://www.myntra.com/casual-shoes/lotto/lotto-men-impulso-citta-black-sneakers/36474506/buy
Myntra,shoes,1,Puma Skyrocket Lite 2 Running Shoes,₹2849,₹4999,43% off,No,4.3,None,False,False,4.3 | 250 Puma Skyrocket Lite 2 Running Shoes Sizes: UK11 Rs. 2849 Rs. 4999 (43% OFF) VIEW SIMILAR wishlist Select a size UK11,https://www.myntra.com/sports-shoes/puma/puma-skyrocket-lite-2-running-shoes/41856885/buy
Myntra,shoes,1,mothercare Infants Round Toe Booties,₹599,₹999,40% off,No,3.3,Only Few Left,True,False,3.3 | 6 NEW mothercare Infants Round Toe Booties Sizes: 12-18M Rs. 599 Rs. 999 (40% OFF) Only Few Left! VIEW SIMILAR wishlist Select a size 12-18M,https://www.myntra.com/booties/mothercare/mothercare-infants-round-toe-booties/40843964/buy
